Execution_Date,Employees,Simulation_Start,Simulation_End,Simulation_Years,Seed,Execution_Time,Memory_Usage_In_MB,Generated_Events_Count,Output_Size_In_MB
2026-07-11 20:44:52,500,2025-01-01,2026-12-31,2,67,9.73,241.03,475121,23.02
2026-07-11 20:45:23,500,2025-01-01,2026-12-31,2,67,9.82,239.68,475121,23.02
2026-07-11 20:45:42,500,2025-01-01,2026-12-31,2,67,9.79,239.09,475121,23.02
2026-07-11 23:18:15,500,2025-01-01,2026-12-31,2,67,11.75,258.73,475121,22.57
2026-07-11 23:41:14,500,2025-01-01,2026-12-31,2,67,12.13,254.92,475121,22.57
2026-07-12 12:17:02,500,2025-01-01,2026-12-31,2,67,14.55,240.5,475121,23.92
2026-07-12 12:18:28,500,2025-01-01,2026-12-31,2,67,31.95,235.2,475121,23.92
2026-07-12 12:19:17,500,2025-01-01,2026-12-31,2,67,35.64,242.76,475121,23.92
2026-07-12 12:21:53,500,2025-01-01,2026-12-31,2,67,33.51,231.16,475121,23.92
2026-07-12 12:23:57,500,2025-01-01,2026-12-31,2,67,14.76,224.94,475121,19.39
2026-07-12 12:53:49,500,2025-01-01,2026-12-31,2,67,18.49,243.66,475121,19.39
2026-07-12 12:57:16,500,2025-01-01,2026-12-31,2,67,18.8,235.52,475121,16.38
2026-07-12 13:04:07,500,2025-01-01,2026-12-31,2,67,15.31,249.14,475121,16.38
2026-07-12 15:51:25,500,2025-01-01,2026-12-31,2,67,14.43,233.53,,16.38
2026-07-12 15:52:02,500,2025-01-01,2026-12-31,2,67,14.33,245.55,,16.38
2026-07-12 15:55:06,500,2025-01-01,2026-12-31,2,67,14.95,243.48,,16.38
2026-07-12 21:36:29,500,2025-01-01,2026-12-31,2,67,13.96,238.26,,16.46
2026-07-12 21:39:17,500,2025-01-01,2026-12-31,2,67,15.18,235.48,,16.38
2026-07-15 20:26:19,500,2025-01-01,2026-12-31,2,67,22.58,245.93,,16.38
2026-07-15 20:46:25,500,2025-01-01,2026-12-31,2,67,16.44,235.26,475121,16.38
2026-07-18 21:06:34,500,2025-01-01,2026-12-31,2,67,15.33,243.24,475121,16.83
